customer_id,customer_name,email,country,signup_at,acquisition_channel,total_orders,lifetime_revenue,avg_order_value,first_order_at,last_order_at,recency_days,rfm_segment,is_churn_risk
CUST_00001,Allison Hill,donaldgarcia@example.net,United States,2025-03-28 11:21:41,Social Media,2,1087.94,543.97,2025-05-28 14:51:10,2025-09-24 14:17:11,158,At Risk,true
CUST_00002,Angie Henderson,davisjesse@example.net,Canada,2025-07-10 05:06:54,Paid Ads,2,194.94,97.47,2025-08-25 02:53:07,2025-11-03 22:45:06,118,At Risk,false
CUST_00004,Abigail Shaffer,jpeterson@example.org,France,2025-03-09 12:39:26,Email Campaign,4,954.87,238.72,2025-03-20 12:29:45,2025-10-23 05:49:18,129,At Risk,true
CUST_00005,Gabrielle Davis,howardmaurice@example.com,United States,2025-01-25 16:28:19,Organic Search,2,164.95,82.48,2025-03-18 08:05:39,2026-01-19 08:31:23,41,Active / Recent,false
CUST_00006,Monica Herrera,smiller@example.net,Canada,2025-06-19 19:42:26,Referral,6,2218.64,369.77,2025-06-22 11:32:26,2026-01-21 06:05:19,39,Loyal Customers,false
CUST_00007,Shannon Ray,williamsjeremy@example.com,France,2025-01-21 14:39:58,Paid Ads,4,672.91,168.23,2025-03-12 19:12:43,2026-02-13 18:10:00,16,Loyal Customers,false
CUST_00008,Dr. Sharon James,xreid@example.org,Canada,2025-11-22 20:24:58,Email Campaign,3,539.87,179.96,2025-12-02 09:28:47,2025-12-30 13:15:54,61,Active / Recent,false
CUST_00009,Daniel Adams,lynchgeorge@example.net,Australia,2025-08-05 01:51:02,Organic Search,2,549.97,274.99,2025-11-23 18:18:35,2026-01-23 23:02:42,37,Active / Recent,false
CUST_00010,Joel Nelson,gabriellecameron@example.org,India,2025-05-05 00:15:55,Email Campaign,2,264.97,132.49,2025-05-05 07:29:48,2026-02-01 04:22:03,28,Active / Recent,false
CUST_00011,Andrew Stewart,carl95@example.org,United Kingdom,2025-09-22 06:43:45,Paid Ads,6,1304.79,217.47,2025-09-30 14:42:27,2026-02-23 15:13:28,6,Champions,false
CUST_00012,Jennifer Rocha,ithomas@example.org,Australia,2025-06-17 05:44:21,Social Media,2,484.92,242.46,2025-10-22 23:01:26,2026-02-19 12:44:27,10,Active / Recent,false
CUST_00013,Kimberly Burgess,zhurst@example.com,United States,2025-03-21 09:20:15,Email Campaign,2,379.91,189.96,2025-06-30 03:19:05,2025-12-08 04:26:00,83,Active / Recent,false
CUST_00014,Zachary Hicks,camposmichelle@example.org,United Kingdom,2025-03-17 02:55:26,Social Media,2,344.94,172.47,2025-06-03 15:32:41,2025-06-15 10:58:05,259,Lost / Churned,true
CUST_00015,Rebecca Henderson,cruzcaitlin@example.com,Australia,2025-07-25 11:01:34,Organic Search,2,749.92,374.96,2025-09-21 11:19:25,2026-02-14 16:11:19,15,Active / Recent,false
CUST_00016,Tricia Valencia,frazierdanny@example.net,France,2025-12-23 20:18:01,Organic Search,4,854.88,213.72,2025-12-28 05:42:10,2026-02-17 10:11:20,12,Loyal Customers,false
CUST_00017,Patricia Peterson,ryan70@example.net,United States,2025-10-22 00:23:32,Referral,2,244.93,122.47,2026-01-19 12:05:38,2026-02-19 14:58:52,10,Active / Recent,false
CUST_00018,Deborah Mason,williamrodriguez@example.net,Australia,2025-08-16 17:14:21,Referral,2,134.95,67.47,2025-10-22 06:13:08,2025-11-11 18:26:38,110,At Risk,false
CUST_00019,Mark Lynch,nathanielmartin@example.net,France,2025-10-08 21:21:55,Paid Ads,3,428.88,142.96,2025-12-08 18:33:54,2026-02-17 08:26:45,12,Loyal Customers,false
CUST_00020,Linda Burns,hickmannatasha@example.com,United States,2025-02-24 00:36:07,Paid Ads,1,169.97,169.97,2026-02-07 04:42:11,2026-02-07 04:42:11,22,Active / Recent,false
CUST_00021,David Bradley,millertodd@example.org,United States,2025-08-13 18:34:57,Paid Ads,2,1184.85,592.42,2025-08-17 05:31:03,2026-01-11 00:47:10,49,Active / Recent,false
CUST_00022,Kim Martinez,karroyo@example.com,Germany,2025-03-20 10:48:11,Social Media,2,724.91,362.46,2025-04-28 01:50:12,2026-01-26 01:49:59,34,Active / Recent,false
CUST_00023,Lisa Brandt,jenniferross@example.net,India,2025-12-19 04:10:50,Social Media,6,885.80,147.63,2025-12-25 10:24:40,2026-02-13 00:34:02,16,Champions,false
CUST_00024,Jessica Holmes,wrightcaleb@example.org,United Kingdom,2025-05-07 08:05:31,Social Media,3,652.88,217.63,2025-09-13 05:24:25,2025-11-09 18:11:18,112,At Risk,false
CUST_00025,Crystal Robinson,zimmermanbrian@example.org,India,2025-06-12 17:29:38,Social Media,3,619.90,206.63,2025-08-30 19:17:36,2026-01-05 12:52:33,55,Loyal Customers,false
CUST_00026,Shannon Jones,joshuawashington@example.net,France,2025-02-25 11:02:21,Paid Ads,1,389.97,389.97,2025-05-06 04:42:47,2025-05-06 04:42:47,299,Lost / Churned,true
CUST_00027,Timothy Duncan,esanchez@example.com,Canada,2025-07-10 03:36:23,Email Campaign,2,649.90,324.95,2025-09-07 17:10:05,2026-02-06 03:42:16,23,Active / Recent,false
CUST_00028,Brent Jordan,ujenkins@example.org,United Kingdom,2025-10-22 17:33:43,Referral,2,989.88,494.94,2025-11-05 12:28:30,2025-12-16 13:14:11,75,Active / Recent,false
CUST_00029,Victoria Garcia,zchandler@example.org,India,2025-06-20 13:55:24,Social Media,4,857.87,214.47,2025-08-03 16:38:44,2026-02-15 08:44:34,14,Loyal Customers,false
CUST_00030,Connor West,dwhite@example.org,Canada,2025-02-13 10:45:32,Organic Search,1,319.94,319.94,2025-03-20 16:53:00,2025-03-20 16:53:00,346,Lost / Churned,true
CUST_00031,Angela Morton,williamsyvette@example.org,Germany,2025-09-03 00:28:15,Social Media,3,619.92,206.64,2025-10-01 13:00:44,2025-11-28 17:12:27,93,At Risk,false
CUST_00032,Tammy Allison,richardolson@example.com,Canada,2025-02-21 09:50:42,Referral,1,359.96,359.96,2025-07-01 00:57:16,2025-07-01 00:57:16,243,Lost / Churned,true
CUST_00033,Carmen Smith,ybaker@example.com,Canada,2025-09-02 10:01:15,Email Campaign,2,224.94,112.47,2025-09-05 06:40:11,2025-12-27 03:01:34,64,Active / Recent,false
CUST_00034,Michael Cross,smoore@example.org,India,2025-11-04 07:06:47,Email Campaign,2,1489.86,744.93,2025-11-20 04:50:01,2025-12-03 10:30:42,88,Active / Recent,false
CUST_00035,Lauren Daniels,brian97@example.net,United Kingdom,2025-04-21 23:19:10,Paid Ads,1,309.97,309.97,2026-02-24 15:08:00,2026-02-24 15:08:00,5,Active / Recent,false
CUST_00036,Kim Brown,yorkcasey@example.org,India,2025-07-11 13:28:11,Referral,3,644.90,214.97,2025-11-12 21:23:05,2026-02-03 13:39:58,26,Loyal Customers,false
CUST_00037,Cynthia Wilson,bethwilliams@example.org,India,2025-07-24 01:51:30,Referral,1,138.96,138.96,2025-09-05 10:49:19,2025-09-05 10:49:19,177,At Risk,true
CUST_00038,Kevin Mills,james53@example.com,France,2025-11-29 18:35:07,Email Campaign,2,189.93,94.97,2025-12-07 11:43:28,2026-01-11 14:07:55,49,Active / Recent,false
CUST_00039,Michael Evans,sarah10@example.com,Canada,2025-10-09 04:06:10,Paid Ads,2,114.96,57.48,2025-11-01 19:51:49,2025-12-10 09:08:20,81,Active / Recent,false
CUST_00040,Kristine Garcia,williamanderson@example.com,United States,2026-01-19 07:48:07,Organic Search,2,569.89,284.95,2026-01-24 02:45:40,2026-01-28 12:56:44,32,Active / Recent,false
CUST_00041,Sherry Wood,samueldaniels@example.com,Canada,2025-03-27 04:00:28,Paid Ads,1,79.96,79.96,2025-08-17 16:11:39,2025-08-17 16:11:39,196,Lost / Churned,true
CUST_00042,Victoria Valdez,contrerasangela@example.net,France,2025-11-24 21:37:55,Organic Search,3,988.83,329.61,2025-12-02 21:17:00,2025-12-16 10:27:56,75,Active / Recent,false
CUST_00043,Shawn Baker,newtoneric@example.com,Germany,2025-10-26 20:34:57,Referral,2,298.94,149.47,2025-11-09 12:06:39,2025-11-16 01:32:34,105,At Risk,false
CUST_00044,Michelle Harris,william40@example.org,France,2025-12-30 13:04:56,Social Media,3,205.94,68.65,2026-02-04 18:56:45,2026-02-26 02:32:51,3,Loyal Customers,false
CUST_00045,Sandra Williams,kellie42@example.net,India,2025-01-09 22:01:18,Organic Search,6,789.82,131.64,2025-02-04 09:58:50,2025-09-01 16:51:59,181,Lost / Churned,true
CUST_00046,Michael Hoffman,jonesnicole@example.org,Australia,2025-07-27 05:58:55,Social Media,4,314.90,78.72,2025-11-14 17:34:50,2026-02-27 18:24:38,2,Loyal Customers,false
CUST_00047,Sandra Aguilar,russellwilliams@example.com,United Kingdom,2025-03-28 15:28:59,Email Campaign,3,409.90,136.63,2025-09-18 21:37:20,2026-02-09 16:25:50,20,Loyal Customers,false
CUST_00048,Rebecca Valencia,jason31@example.com,Germany,2025-05-03 20:16:27,Organic Search,1,289.93,289.93,2025-08-20 09:43:16,2025-08-20 09:43:16,193,Lost / Churned,true
CUST_00049,Stacey Russell,sarayoung@example.org,France,2025-07-24 13:55:39,Paid Ads,3,569.93,189.98,2025-07-29 13:50:13,2025-12-19 18:32:07,72,Active / Recent,false
CUST_00050,Rita Keith,whitesandra@example.com,Australia,2025-03-24 15:38:29,Social Media,1,479.98,479.98,2025-09-22 19:39:42,2025-09-22 19:39:42,160,At Risk,true
CUST_00051,Sharon Cochran,erik16@example.org,Canada,2025-06-04 11:58:18,Social Media,3,419.92,139.97,2025-07-17 11:16:01,2025-12-22 22:07:50,69,Active / Recent,false
CUST_00052,Courtney Velasquez,ybailey@example.org,France,2025-05-06 11:29:32,Referral,3,949.84,316.61,2025-08-25 04:24:39,2025-10-06 06:55:53,146,At Risk,true
CUST_00053,Matthew Ross,michelle45@example.net,France,2025-01-01 10:39:39,Social Media,2,478.93,239.47,2025-02-07 12:34:27,2025-08-23 08:35:36,190,Lost / Churned,true
CUST_00054,Meghan Anthony,sheila14@example.org,United States,2026-01-15 12:16:14,Organic Search,3,884.91,294.97,2026-02-10 14:20:27,2026-02-18 06:35:19,11,Loyal Customers,false
CUST_00056,William Wilson,jonathanfletcher@example.org,United States,2025-07-05 23:42:52,Paid Ads,3,554.84,184.95,2025-09-26 02:58:15,2025-12-16 18:15:23,75,Active / Recent,false
CUST_00057,Renee Mcdaniel,michaeljones@example.net,United States,2025-03-03 04:08:16,Email Campaign,3,294.91,98.3,2025-04-04 11:17:03,2026-02-25 19:29:51,4,Loyal Customers,false
CUST_00058,Lisa Alvarado,cortezkevin@example.com,Australia,2025-02-23 18:12:53,Referral,2,394.93,197.47,2025-05-12 09:26:25,2025-09-28 22:52:39,154,At Risk,true
CUST_00059,Erika Terry,jamesortega@example.com,Canada,2025-04-08 16:20:45,Email Campaign,3,675.89,225.3,2025-10-27 12:54:35,2026-02-05 09:13:58,24,Loyal Customers,false
CUST_00060,Stephanie Gilbert,richard04@example.com,United Kingdom,2025-05-09 06:11:22,Referral,2,1179.94,589.97,2025-05-21 03:38:23,2025-07-08 12:26:20,236,Lost / Churned,true
CUST_00061,Richard Lawson,steven73@example.net,Canada,2025-11-25 15:51:46,Referral,2,569.93,284.96,2025-11-28 12:05:09,2025-12-20 02:58:36,71,Active / Recent,false
CUST_00062,Steven Flynn,donnacampbell@example.net,India,2025-06-06 05:43:39,Social Media,3,870.89,290.3,2025-06-29 10:52:19,2025-12-10 12:01:45,81,Active / Recent,false
CUST_00063,Frances Cardenas,emilywalker@example.org,India,2025-11-06 21:45:19,Social Media,3,964.90,321.63,2025-12-01 08:09:07,2026-02-02 04:25:24,27,Loyal Customers,false
CUST_00064,Angel Riggs,gibsonolivia@example.net,France,2025-12-07 06:46:38,Email Campaign,1,74.97,74.97,2025-12-14 04:35:21,2025-12-14 04:35:21,77,Active / Recent,false
CUST_00065,Michael Snyder,dylanwatts@example.org,Canada,2025-04-04 23:40:54,Paid Ads,3,1089.82,363.27,2025-04-22 13:35:45,2026-01-26 21:03:25,34,Loyal Customers,false
CUST_00066,Colleen Brock,pwilliams@example.org,United Kingdom,2025-02-19 17:31:45,Organic Search,4,559.86,139.97,2025-03-09 09:21:36,2026-02-20 21:41:24,9,Loyal Customers,false
CUST_00067,Robert Contreras,stephanie79@example.net,France,2025-06-28 17:38:58,Paid Ads,5,1219.77,243.95,2025-07-16 11:46:31,2025-10-29 22:57:31,123,At Risk,true
CUST_00068,Jessica Meadows,vmerritt@example.com,United States,2025-01-06 14:02:49,Organic Search,2,732.94,366.47,2025-09-09 13:07:38,2025-10-06 21:07:28,146,At Risk,true
CUST_00069,Paul Larsen,katie87@example.net,United States,2025-06-27 19:47:03,Organic Search,1,59.98,59.98,2025-07-16 15:33:57,2025-07-16 15:33:57,228,Lost / Churned,true
CUST_00070,Jeremiah Reeves,josephflores@example.net,United States,2025-09-14 15:38:00,Referral,1,479.96,479.96,2025-11-21 16:59:38,2025-11-21 16:59:38,100,At Risk,false
CUST_00071,Chris Reyes,jasminebrown@example.com,United Kingdom,2025-07-04 20:43:40,Email Campaign,3,979.90,326.63,2025-07-13 07:44:27,2026-02-07 19:22:02,22,Loyal Customers,false
CUST_00073,Alicia Gilmore,wwoods@example.com,Canada,2026-01-03 03:13:35,Email Campaign,2,684.90,342.45,2026-01-25 08:42:40,2026-02-23 03:11:49,6,Active / Recent,false
CUST_00074,Sarah Ashley,vmedina@example.net,Canada,2025-11-13 04:08:51,Organic Search,2,499.92,249.96,2026-01-15 17:55:55,2026-01-16 23:02:26,44,Active / Recent,false
CUST_00075,Stephanie Freeman,ryan06@example.com,India,2025-03-17 06:55:16,Email Campaign,2,749.94,374.97,2025-03-19 00:02:32,2025-06-01 13:44:33,273,Lost / Churned,true
CUST_00076,Rebecca Ramsey,ncalhoun@example.net,Germany,2025-10-03 04:35:07,Email Campaign,5,1125.86,225.17,2025-10-09 16:18:00,2025-11-27 01:00:55,94,At Risk,false
CUST_00077,James Elliott,millerroy@example.com,Australia,2025-12-29 17:58:14,Organic Search,4,534.84,133.71,2026-01-08 13:59:40,2026-02-15 11:35:36,14,Loyal Customers,false
CUST_00078,David Murphy,wmurphy@example.com,United States,2025-03-18 10:38:31,Email Campaign,3,230.97,76.99,2025-06-03 13:54:39,2025-11-22 03:12:23,99,At Risk,false
CUST_00079,Trevor Fisher,ruizkaitlyn@example.org,Australia,2025-09-21 13:03:32,Organic Search,2,489.95,244.98,2025-11-18 20:06:29,2026-02-20 17:39:30,9,Active / Recent,false
CUST_00082,Jacob Obrien,stricklandfrank@example.com,United Kingdom,2025-05-23 12:27:53,Email Campaign,3,1319.89,439.96,2025-06-15 18:59:15,2026-02-07 11:53:04,22,Loyal Customers,false
CUST_00083,Alexander Collins,tsanders@example.org,Australia,2025-07-14 00:43:46,Organic Search,3,254.97,84.99,2025-12-05 22:50:01,2026-02-26 10:56:16,3,Loyal Customers,false
CUST_00085,Barbara Riggs,reedross@example.com,United States,2025-03-18 01:09:03,Referral,2,169.97,84.99,2025-08-11 17:40:20,2025-09-06 03:14:22,176,At Risk,true
CUST_00086,Matthew Smith,gshort@example.com,United States,2025-01-12 11:06:22,Paid Ads,1,109.96,109.96,2025-04-01 07:19:01,2025-04-01 07:19:01,334,Lost / Churned,true
CUST_00088,Robert Medina,umarshall@example.net,Canada,2026-01-09 21:10:16,Email Campaign,1,95.96,95.96,2026-02-13 14:00:45,2026-02-13 14:00:45,16,Active / Recent,false
CUST_00089,Samuel Rivas,ramirezshannon@example.com,Canada,2025-02-15 13:02:35,Email Campaign,5,832.86,166.57,2025-02-27 01:09:55,2026-02-09 15:11:54,20,Champions,false
CUST_00091,Robert Peterson,angela83@example.org,United Kingdom,2025-12-20 09:58:14,Email Campaign,5,357.88,71.58,2026-01-12 22:54:00,2026-02-18 15:39:29,11,Champions,false
CUST_00092,Jason Peters,hannahbrewer@example.com,Canada,2026-01-14 00:12:45,Paid Ads,2,533.86,266.93,2026-01-20 01:57:24,2026-02-02 22:45:41,27,Active / Recent,false
CUST_00093,Alan Phillips,tholt@example.net,Canada,2025-08-19 11:02:05,Organic Search,4,593.88,148.47,2025-08-22 13:16:28,2026-02-27 17:27:02,2,Loyal Customers,false
CUST_00094,Kara Schmidt,jbarajas@example.com,India,2025-02-17 08:19:53,Social Media,2,344.93,172.47,2025-03-29 15:09:37,2025-12-02 22:37:22,89,Active / Recent,false
CUST_00095,Jesse Parker,davidlee@example.org,United States,2025-02-14 09:38:16,Referral,5,658.82,131.76,2025-03-18 14:55:28,2025-09-30 23:57:01,152,At Risk,true
CUST_00096,Tiffany Vaughn,javierwashington@example.net,France,2026-01-06 07:58:55,Referral,4,489.89,122.47,2026-01-16 22:20:10,2026-02-08 10:08:12,21,Loyal Customers,false
CUST_00098,Adrian Ferguson,brandon08@example.com,Australia,2025-03-04 05:23:09,Paid Ads,6,1294.84,215.81,2025-03-10 14:08:44,2026-02-13 01:17:35,16,Champions,false
CUST_00099,Beth Oneill,agarcia@example.net,France,2025-02-23 05:19:48,Organic Search,2,59.97,29.99,2025-06-24 01:52:52,2025-09-03 10:26:17,179,At Risk,true
CUST_00100,John Peterson,kingmichelle@example.org,Germany,2025-07-02 16:31:06,Organic Search,2,737.89,368.95,2025-12-03 09:10:22,2026-01-29 23:44:38,31,Active / Recent,false
CUST_00101,Jennifer Jones,hernandezlisa@example.com,France,2025-07-11 05:47:12,Referral,1,149.97,149.97,2025-12-04 17:08:06,2025-12-04 17:08:06,87,Active / Recent,false
CUST_00102,David Grant,yobrien@example.net,France,2025-01-31 20:50:17,Organic Search,1,179.97,179.97,2026-01-23 20:03:47,2026-01-23 20:03:47,37,Active / Recent,false
CUST_00103,Joseph Hayes,levans@example.com,India,2025-11-22 14:55:07,Referral,1,74.98,74.98,2026-01-10 00:10:07,2026-01-10 00:10:07,50,Active / Recent,false
CUST_00104,Marc Lynch,mezajared@example.org,United Kingdom,2025-09-03 17:33:40,Paid Ads,3,469.90,156.63,2025-10-11 02:24:39,2026-01-20 04:49:39,40,Loyal Customers,false
CUST_00105,Brad Allen,moorericky@example.net,Canada,2025-09-02 00:48:42,Social Media,1,149.98,149.98,2026-01-09 13:22:37,2026-01-09 13:22:37,51,Active / Recent,false
CUST_00106,Doris Hall,jacqueline71@example.net,Canada,2025-11-04 09:58:58,Social Media,2,523.88,261.94,2025-11-25 01:55:16,2026-01-27 06:15:37,33,Active / Recent,false
CUST_00107,Dennis Moody,ronaldstephens@example.net,United Kingdom,2025-12-22 03:17:01,Organic Search,8,1828.70,228.59,2025-12-23 13:43:42,2026-02-28 17:19:34,1,Champions,false
CUST_00108,Derek Thomas,martinkyle@example.net,Germany,2025-01-08 05:39:09,Referral,1,314.94,314.94,2025-08-09 05:52:20,2025-08-09 05:52:20,204,Lost / Churned,true
CUST_00109,Tammy Gonzales,sbarker@example.com,United States,2025-03-19 15:47:08,Referral,3,224.93,74.98,2025-05-22 11:52:17,2025-09-13 06:46:06,169,At Risk,true
CUST_00110,Kathryn Snyder,georgepamela@example.net,France,2025-06-15 13:29:03,Social Media,2,707.89,353.95,2025-08-14 07:59:39,2025-09-26 04:46:23,156,At Risk,true
CUST_00111,David Davis,keyemily@example.com,United Kingdom,2025-04-13 21:10:09,Organic Search,2,114.94,57.47,2025-08-18 18:51:57,2025-10-29 04:47:12,123,At Risk,true
CUST_00112,Pamela Thompson,lmoon@example.net,United Kingdom,2025-07-09 17:47:29,Social Media,1,144.96,144.96,2026-02-05 19:14:04,2026-02-05 19:14:04,24,Active / Recent,false
CUST_00113,Robert Costa,vbailey@example.com,Germany,2025-05-03 12:36:50,Referral,2,179.94,89.97,2025-08-21 02:59:40,2026-02-06 11:59:11,23,Active / Recent,false
