customer_id,full_name,email,country,signup_timestamp,acquisition_channel
CUST_00001,Allison Hill,donaldgarcia@example.net,United States,2025-03-28 11:21:41,Social Media
CUST_00002,Angie Henderson,davisjesse@example.net,Canada,2025-07-10 05:06:54,Paid Ads
CUST_00003,Cristian Santos,lrobinson@example.com,India,2025-03-21 14:38:54,Referral
CUST_00004,Abigail Shaffer,jpeterson@example.org,France,2025-03-09 12:39:26,Email Campaign
CUST_00005,Gabrielle Davis,howardmaurice@example.com,United States,2025-01-25 16:28:19,Organic Search
CUST_00006,Monica Herrera,smiller@example.net,Canada,2025-06-19 19:42:26,Referral
CUST_00007,Shannon Ray,williamsjeremy@example.com,France,2025-01-21 14:39:58,Paid Ads
CUST_00008,Dr. Sharon James,xreid@example.org,Canada,2025-11-22 20:24:58,Email Campaign
CUST_00009,Daniel Adams,lynchgeorge@example.net,Australia,2025-08-05 01:51:02,Organic Search
CUST_00010,Joel Nelson,gabriellecameron@example.org,India,2025-05-05 00:15:55,Email Campaign
CUST_00011,Andrew Stewart,carl95@example.org,United Kingdom,2025-09-22 06:43:45,Paid Ads
CUST_00012,Jennifer Rocha,ithomas@example.org,Australia,2025-06-17 05:44:21,Social Media
CUST_00013,Kimberly Burgess,zhurst@example.com,United States,2025-03-21 09:20:15,Email Campaign
CUST_00014,Zachary Hicks,camposmichelle@example.org,United Kingdom,2025-03-17 02:55:26,Social Media
CUST_00015,Rebecca Henderson,cruzcaitlin@example.com,Australia,2025-07-25 11:01:34,Organic Search
CUST_00016,Tricia Valencia,frazierdanny@example.net,France,2025-12-23 20:18:01,Organic Search
CUST_00017,Patricia Peterson,ryan70@example.net,United States,2025-10-22 00:23:32,Referral
CUST_00018,Deborah Mason,williamrodriguez@example.net,Australia,2025-08-16 17:14:21,Referral
CUST_00019,Mark Lynch,nathanielmartin@example.net,France,2025-10-08 21:21:55,Paid Ads
CUST_00020,Linda Burns,hickmannatasha@example.com,United States,2025-02-24 00:36:07,Paid Ads
CUST_00021,David Bradley,millertodd@example.org,United States,2025-08-13 18:34:57,Paid Ads
CUST_00022,Kim Martinez,karroyo@example.com,Germany,2025-03-20 10:48:11,Social Media
CUST_00023,Lisa Brandt,jenniferross@example.net,India,2025-12-19 04:10:50,Social Media
CUST_00024,Jessica Holmes,wrightcaleb@example.org,United Kingdom,2025-05-07 08:05:31,Social Media
CUST_00025,Crystal Robinson,zimmermanbrian@example.org,India,2025-06-12 17:29:38,Social Media
CUST_00026,Shannon Jones,joshuawashington@example.net,France,2025-02-25 11:02:21,Paid Ads
CUST_00027,Timothy Duncan,esanchez@example.com,Canada,2025-07-10 03:36:23,Email Campaign
CUST_00028,Brent Jordan,ujenkins@example.org,United Kingdom,2025-10-22 17:33:43,Referral
CUST_00029,Victoria Garcia,zchandler@example.org,India,2025-06-20 13:55:24,Social Media
CUST_00030,Connor West,dwhite@example.org,Canada,2025-02-13 10:45:32,Organic Search
CUST_00031,Angela Morton,williamsyvette@example.org,Germany,2025-09-03 00:28:15,Social Media
CUST_00032,Tammy Allison,richardolson@example.com,Canada,2025-02-21 09:50:42,Referral
CUST_00033,Carmen Smith,ybaker@example.com,Canada,2025-09-02 10:01:15,Email Campaign
CUST_00034,Michael Cross,smoore@example.org,India,2025-11-04 07:06:47,Email Campaign
CUST_00035,Lauren Daniels,brian97@example.net,United Kingdom,2025-04-21 23:19:10,Paid Ads
CUST_00036,Kim Brown,yorkcasey@example.org,India,2025-07-11 13:28:11,Referral
CUST_00037,Cynthia Wilson,bethwilliams@example.org,India,2025-07-24 01:51:30,Referral
CUST_00038,Kevin Mills,james53@example.com,France,2025-11-29 18:35:07,Email Campaign
CUST_00039,Michael Evans,sarah10@example.com,Canada,2025-10-09 04:06:10,Paid Ads
